id,pop,city,state,loc
2189,14055,WEYMOUTH,MA,"['-70.931671', ' 42.211606']"
2190,17668,WEYMOUTH,MA,"['-70.94869', ' 42.172817']"
2191,9153,WEYMOUTH,MA,"['-70.944318', ' 42.243564']"
2192,19570,NEEDHAM,MA,"['-71.235172', ' 42.278908']"
2193,10221,WESTON,MA,"['-71.300291', ' 42.359422']"
2194,8006,NEEDHAM,MA,"['-71.234363', ' 42.297702']"
2199,886,BOSTON,MA,"['-71.082543', ' 42.347873']"
2210,308,BOSTON,MA,"['-71.046511', ' 42.348921']"
2215,17769,BOSTON,MA,"['-71.102689', ' 42.347088']"
2322,4594,AVON,MA,"['-71.043738', ' 42.125825']"
2324,21198,BRIDGEWATER,MA,"['-70.97234', ' 41.977341']"
2330,10573,CARVER,MA,"['-70.767754', ' 41.888265']"
2332,13913,DUXBURY,MA,"['-70.716257', ' 42.039936']"
2333,11104,EAST BRIDGEWATER,MA,"['-70.944964', ' 42.031478']"
2338,6526,HALIFAX,MA,"['-70.844794', ' 42.000159']"
2339,11912,HANOVER,MA,"['-70.857006', ' 42.121406']"
2341,9037,HANSON,MA,"['-70.865053', ' 42.061627']"
2343,11041,HOLBROOK,MA,"['-71.008273', ' 42.14641']"
2346,17867,MIDDLEBORO,MA,"['-70.892965', ' 41.888396']"
2347,7785,LAKEVILLE,MA,"['-70.958195', ' 41.837377']"
2351,13849,ABINGTON,MA,"['-70.954293', ' 42.116715']"
2356,10397,NORTH EASTON,MA,"['-71.112337', ' 42.058956']"
2359,14535,PEMBROKE,MA,"['-70.804404', ' 42.062072']"
2360,45629,PLYMOUTH,MA,"['-70.642004', ' 41.910404']"
2364,9045,KINGSTON,MA,"['-70.740993', ' 41.995022']"
2367,2384,PLYMPTON,MA,"['-70.804582', ' 41.96549']"
2368,30057,RANDOLPH,MA,"['-71.051392', ' 42.173587']"
2370,16123,ROCKLAND,MA,"['-70.913263', ' 42.129286']"
2375,9247,SOUTH EASTON,MA,"['-71.098814', ' 42.025704']"
2379,6440,WEST BRIDGEWATER,MA,"['-71.016054', ' 42.025511']"
2382,13208,WHITMAN,MA,"['-70.938127', ' 42.081603']"
2401,59498,BROCKTON,MA,"['-71.034348', ' 42.081571']"
2402,33290,BROCKTON,MA,"['-71.001947', ' 42.088396']"
2532,12047,ONSET,MA,"['-70.593168', ' 41.752918']"
2535,952,CHILMARK,MA,"['-70.741613', ' 41.357523']"
2536,15976,TEATICKET,MA,"['-70.565174', ' 41.58504']"
2537,7254,EAST SANDWICH,MA,"['-70.46822', ' 41.684603']"
2538,4778,EAST WAREHAM,MA,"['-70.653237', ' 41.768247']"
